game_id,player_count,seat,character,score,is_winner,total_steps
403,2,0,hemat,5,0,58
403,2,1,pendingin,148,1,58
404,2,0,baja,23,1,48
404,2,1,perisai,10,0,48
405,2,0,hemat,46,1,64
405,2,1,baja,0,0,64
406,2,0,baja,1,0,46
406,2,1,pendingin,4,1,46
407,2,0,hemat,0,0,50
407,2,1,rakus,57,1,50
408,2,0,baja,1,1,47
408,2,1,kompor,0,0,47
409,2,0,baja,6,1,48
409,2,1,pendingin,0,0,48
410,2,0,pendingin,7,1,50
410,2,1,kompor,0,0,50
411,2,0,baja,32,1,43
411,2,1,pendingin,10,0,43
412,2,0,perisai,5,0,45
412,2,1,pendingin,10,1,45
413,2,0,baja,5,0.5,49
413,2,1,pendingin,5,0.5,49
414,2,0,perisai,0,0,61
414,2,1,hemat,5,1,61
415,2,0,hemat,0,0,52
415,2,1,kompor,5,1,52
416,2,0,hemat,0,0.5,62
416,2,1,rakus,0,0.5,62
417,2,0,baja,2,0,54
417,2,1,kompor,89,1,54
418,2,0,pendingin,10,1,42
418,2,1,rakus,0,0,42
419,2,0,pendingin,0,0.5,41
419,2,1,hemat,0,0.5,41
420,2,0,perisai,0,0,39
420,2,1,pendingin,9,1,39
421,2,0,kompor,81,1,52
421,2,1,perisai,0,0,52
422,2,0,hemat,9,0,54
422,2,1,baja,32,1,54
